ROUGE-Type,Task Name,System Name,Avg_Recall,Avg_Precision,Avg_F-Score,Num Reference Summaries
ROUGE-1,1818755,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1578484,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650352,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1708264,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662362,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1708265,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1818750,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1708262,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662360,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1708263,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1747871,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1578488,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1760843,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1578487,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650357,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1578486,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1708266,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1578489,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1686312,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637399,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662366,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637398,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1686314,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637397,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650351,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637396,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637395,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637394,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637393,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637392,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637391,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759853,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1637390,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759847,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1676978,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1760835,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1676977,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1760834,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1735877,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1591488,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649398,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1664991,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649399,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649396,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1747861,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1818740,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649397,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649394,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650387,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649395,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650388,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650389,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649393,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649390,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649391,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1745203,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662332,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1735872,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1735875,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1735874,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1735873,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1760825,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1818737,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759835,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1818736,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759838,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1818739,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1759837,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649389,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649387,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1676983,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649386,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649383,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649384,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649381,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650378,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1747854,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649382,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1747855,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1747852,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1649380,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1747859,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1747857,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1650370,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662345,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1688953,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662344,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662343,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1688951,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1662342,SYSTEM.TXT,1.00000,1.00000,1.00000,1
ROUGE-1,1688952,SYSTEM.TXT,1.00000,1.00000,1.00000,1
